mPCR_run_ID,,mPCR_run_name,original_run_order,group,Null_group,Total_raw_reads_flagstat,Supplementary Reads,pp + map in way that makes sense (count),pp + map in way that makes sense (percent),Primary reads that mapped (count),Primary reads that mapped (percent),Total_reads_after_MQ0_flagstat,Percent_tot_wMQover0,Total_reads_after_MQ0_flagstat_onAMPonly,Percent_readsONamp_afterMQ0filter,CUSTOM_AMPLICON_SET,GENOME_SIZE,AMPLICON_TERRITORY,TARGET_TERRITORY,TOTAL_READS,PF_READS,PF_BASES,PF_UNIQUE_READS,PCT_PF_READS,PCT_PF_UQ_READS,PF_UQ_READS_ALIGNED,PF_SELECTED_PAIRS,PF_SELECTED_UNIQUE_PAIRS,PCT_PF_UQ_READS_ALIGNED,PF_BASES_ALIGNED,PF_UQ_BASES_ALIGNED,ON_AMPLICON_BASES,NEAR_AMPLICON_BASES,OFF_AMPLICON_BASES,ON_TARGET_BASES,ON_TARGET_FROM_PAIR_BASES,PCT_AMPLIFIED_BASES,PCT_OFF_AMPLICON,ON_AMPLICON_VS_SELECTED,MEAN_AMPLICON_COVERAGE,MEAN_TARGET_COVERAGE,MEDIAN_TARGET_COVERAGE,MAX_TARGET_COVERAGE,FOLD_ENRICHMENT,ZERO_CVG_TARGETS_PCT,PCT_EXC_DUPE,PCT_EXC_MAPQ,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_OFF_TARGET,FOLD_80_BASE_PENALTY,PCT_TARGET_BASES_1X,PCT_TARGET_BASES_2X,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,PCT_TARGET_BASES_30X,AT_DROPOUT,GC_DROPOUT,HET_SNP_SENSITIVITY,HET_SNP_Q,SAMPLE,LIBRARY,READ_GROUP
18032FL-152-03-370_S401_L002,18032FL-152-03-370_S401_L002_sorted_MQ1.bam,282_B,336,Pakistan,,1389978,12302,3318,0.24%,1372770,99.64%,71037,0.051106564,4580,0.064473443,18032FL-152-03-370_S401_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,70286,70286,10613186,70286,1,1,70286,2280,2280,1,5214701,5214701,230505,5019,4979177,44332,44174,0.045165,0.954835,0.97869,25.044003,17.236392,0,3066,11731.0562,0.701389,0,0,0.000285,0,0.998837,,0.213064,0.212286,0.07776,0.05832,0.05521,70.611503,8.048706,0.175727,1,,,
18032FL-152-03-371_S402_L002,18032FL-152-03-371_S402_L002_sorted_MQ1.bam,283_B,337,Pakistan,,1770232,26116,0,0.00%,1741608,99.86%,121788,0.068797762,26,0.000213486,18032FL-152-03-371_S402_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,121423,121423,18334873,121423,1,1,121423,9,9,1,9343843,9343843,1015,62,9342766,156,128,0.000115,0.999885,0.942433,0.110278,0.060653,0,11,28.828808,0.930556,0,0,0.000203,0,0.999794,,0.031882,0.007776,0.000778,0,0,71.057144,10.536547,0.011811,0,,,
18032FL-152-03-372_S403_L002,18032FL-152-03-372_S403_L002_sorted_MQ1.bam,284_B,338,Pakistan,,699656,10682,6990,1.01%,687971,99.85%,25713,0.036750918,9561,0.371835258,18032FL-152-03-372_S403_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,24898,24898,3759598,24898,1,1,24898,4770,4770,1,1758177,1758177,483352,10621,1264204,90286,90125,0.280957,0.719043,0.978499,52.515428,35.103421,0,6424,72960.3826,0.527778,0,0,0.000414,0,0.994148,,0.325816,0.315319,0.106921,0.096034,0.080871,68.910424,6.32392,0.267075,1,,,
18032FL-152-03-373_S404_L002,18032FL-152-03-373_S404_L002_sorted_MQ1.bam,287_B,339,Pakistan,,1767021,6623,2126,0.12%,1757913,99.86%,44239,0.025035922,1547,0.034969145,18032FL-152-03-373_S404_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,43883,43883,6626333,43883,1,1,43883,770,770,1,3298007,3298007,78739,1768,3217500,15484,15458,0.024411,0.975589,0.978039,8.554867,6.020218,0,810,6336.13613,0.729167,0,0,0.000524,0,0.999007,,0.178072,0.176905,0.08126,0.057154,0.032659,65.818807,4.344805,0.15766,1,,,
18032FL-152-03-374_S405_L002,18032FL-152-03-374_S405_L002_sorted_MQ1.bam,291_B,340,Pakistan,,2536839,479895,567428,27.59%,2053515,99.83%,757017,0.298409556,598006,0.789950556,18032FL-152-03-374_S405_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,703922,703922,106292222,703922,1,1,703922,290454,290454,1,41424828,41424828,30586083,686786,10151959,6303499,6259701,0.754931,0.245069,0.978039,3323.1294,2450.8161,29,297320,195951.831,0.041667,0,0,0.000173,0,0.985391,612.704024,0.917574,0.917574,0.674961,0.557543,0.498056,65.043982,6.17636,0.865822,9,,,
18032FL-152-03-375_S406_L002,18032FL-152-03-375_S406_L002_sorted_MQ1.bam,292_B,341,Pakistan,,1290558,212556,278444,25.83%,1041376,96.60%,351408,0.27229152,289504,0.823840095,18032FL-152-03-375_S406_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,328455,328455,49596705,328455,1,1,328455,143657,143657,1,19080722,19080722,14937641,335305,3807776,3184202,3173859,0.800439,0.199561,0.978046,1622.951,1238.02566,26,138449,207765.48,0.034722,0,0,0.000181,0,0.984647,309.506415,0.924184,0.924184,0.644635,0.557932,0.46112,63.523712,5.941867,0.850689,8,,,
18032FL-152-03-376_S407_L002,18032FL-152-03-376_S407_L002_sorted_MQ1.bam,297_B,342,Pakistan,,1151398,57064,38346,3.50%,1092808,99.86%,127447,0.110688919,59254,0.46493052,18032FL-152-03-376_S407_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,121983,121983,18419433,121983,1,1,121983,29127,29127,1,8084428,8084428,3031143,66679,4986606,600976,598087,0.383184,0.616816,0.978476,329.328879,233.660964,2,34349,99504.6337,0.201389,0,0,0.000202,0,0.992469,,0.654355,0.6493,0.323095,0.206843,0.169907,65.511694,6.430456,0.574476,4,,,
18032FL-152-03-377_S408_L002,18032FL-152-03-377_S408_L002_sorted_MQ1.bam,298_B,343,Pakistan,,1793540,675298,934404,83.56%,1117263,99.91%,1060605,0.59134728,968034,0.912718684,18032FL-152-03-377_S408_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,977273,977273,147568223,977273,1,1,977273,480433,480433,1,55362563,55362563,50270614,1168063,3923886,10362128,10334898,0.929124,0.070876,0.977292,5461.82247,4028.82115,72,347939,240981.764,0.006944,0,0,0.000167,0,0.982347,503.602644,0.984448,0.984448,0.784215,0.695956,0.650855,61.210518,5.82457,0.950772,13,,,
18032FL-152-03-378_S409_L002,18032FL-152-03-378_S409_L002_sorted_MQ1.bam,299_B,344,Pakistan,,1806870,15316,0,0.00%,1775469,99.10%,86280,0.047751083,21,0.000243394,18032FL-152-03-378_S409_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,85892,85892,12969692,85892,1,1,85892,6,6,1,6554248,6554248,768,54,6553426,104,88,0.000125,0.999875,0.934307,0.083442,0.040435,0,11,31.097432,0.958333,0,0,0.000303,0,0.999694,,0.01944,0.007776,0.000778,0,0,71.88958,11.702955,0.00575,0,,,
18032FL-152-03-379_S410_L002,18032FL-152-03-379_S410_L002_sorted_MQ1.bam,300_B,345,Pakistan,,2151626,399136,386110,22.03%,1746998,99.69%,609916,0.28346748,517354,0.848238118,18032FL-152-03-379_S410_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,563960,563960,85157960,563960,1,1,563960,257838,257838,1,32276099,32276099,26419435,591836,5264828,5362209,5348438,0.836882,0.163118,0.978089,2870.4297,2084.8402,32,269747,217234.433,0.041667,0,0,0.000178,0,0.983793,521.210051,0.891524,0.891524,0.704899,0.578927,0.500389,64.256144,6.009884,0.853441,8,,,
